match_id,start_time,avg_rank_tier,lobby_type,game_mode,duration,radiant_win,radiant_team,dire_team
8831546600,1780145130,71,7,22,2111,1,"17,46,123,51,108","99,31,35,109,131"
8831546530,1780145131,72,7,22,2777,1,"39,2,6,104,45","98,101,21,94,107"
8831546423,1780145125,71,7,22,1894,1,"14,31,41,15,126","131,22,35,108,56"
8831546422,1780145125,72,7,22,2201,0,"86,23,21,58,17","2,106,41,14,90"
8831546417,1780145121,75,7,22,2798,0,"128,54,111,20,155","14,21,80,71,25"
8831546377,1780145125,75,7,22,1654,0,"88,6,42,17,26","93,2,110,103,25"
8831546308,1780145120,75,7,22,2483,1,"2,100,17,111,41","50,99,14,54,25"
8831546282,1780145120,74,7,22,2091,1,"86,7,22,137,6","126,67,53,129,121"
8831546242,1780145116,71,7,22,2173,0,"128,104,97,61,14","94,83,86,51,98"
8831546215,1780145110,75,7,22,2076,1,"80,35,31,57,123","74,25,90,44,155"
8831546207,1780145116,73,7,22,2668,1,"106,27,6,23,39","43,131,30,63,129"
8831546205,1780145116,75,7,22,2505,1,"76,101,93,107,8","22,63,137,68,36"
8831546164,1780145115,71,7,22,2532,0,"87,100,93,86,31","48,83,131,135,73"
8831546083,1780145110,72,7,22,2217,0,"7,44,100,101,104","71,86,97,15,19"
8831546066,1780145111,75,7,22,2572,1,"85,25,32,108,5","78,93,86,14,36"
8831546012,1780145105,74,7,22,1954,1,"120,102,26,2,91","74,87,4,30,104"
8831545991,1780145100,71,7,22,2360,0,"21,7,93,19,123","88,104,67,17,84"
8831545972,1780145096,72,7,22,2937,0,"47,121,44,17,85","14,64,94,19,1"
8831545937,1780145096,72,7,22,1765,0,"135,7,48,86,120","47,8,128,2,59"
8831545924,1780145105,75,7,22,2370,1,"112,41,128,29,88","23,90,103,22,93"
8831545919,1780145100,75,7,22,1862,0,"17,71,50,131,8","36,6,30,73,110"
8831545901,1780145100,71,7,22,1992,1,"121,71,97,48,155","129,73,14,32,39"
8831545845,1780145091,75,7,22,2097,1,"36,71,97,41,27","12,25,77,131,121"
8831545801,1780145100,71,7,22,2205,0,"74,14,106,75,56","108,60,20,27,97"
8831545787,1780145075,74,7,22,1421,0,"12,120,128,74,111","6,100,97,60,50"
8831545771,1780145095,75,7,22,2200,1,"18,60,49,27,39","120,86,85,37,44"
8831545768,1780145095,74,7,22,2750,1,"26,128,59,40,41","4,79,15,39,86"
8831545672,1780145090,75,7,22,2025,0,"98,11,71,53,36","105,128,126,14,138"
8831545656,1780145090,73,7,22,1553,0,"12,86,155,19,104","107,71,36,52,34"
8831545545,1780145071,75,7,22,1867,1,"22,30,25,135,70","73,74,11,14,101"
8831545527,1780145080,75,7,22,2701,1,"26,29,17,41,75","60,5,22,90,8"
8831545499,1780145080,73,0,22,1910,1,"6,61,36,5,129","2,44,121,14,109"
8831545478,1780145080,73,7,22,2476,0,"93,75,86,108,128","22,2,123,21,67"
8831545467,1780145085,75,7,22,1426,1,"86,19,76,104,88","41,69,121,2,39"
8831545462,1780145080,75,7,22,1560,1,"128,38,110,93,14","30,29,12,5,36"
8831545445,1780145075,72,7,22,2668,0,"65,97,91,86,19","47,4,105,2,23"
8831545373,1780145076,73,7,22,2752,1,"89,66,73,34,22","74,12,60,112,62"
8831545202,1780145070,75,7,22,2077,0,"11,93,110,104,76","20,1,19,90,88"
8831545172,1780145046,75,0,4,1301,1,"4,64,73,76,107","12,27,119,29,1"
8831545115,1780145070,75,7,22,1842,0,"121,86,41,69,100","42,102,128,137,67"
8831545052,1780145066,72,0,22,2041,1,"8,105,84,69,65","17,108,74,102,12"
8831544976,1780145061,75,7,22,2046,1,"37,15,1,22,43","2,75,86,14,8"
8831544951,1780145050,74,7,22,1716,0,"59,21,54,26,137","100,65,11,14,114"
8831544933,1780145061,75,7,22,1713,0,"53,37,107,41,69","93,14,57,81,74"
8831544917,1780145050,75,7,22,2736,1,"74,90,120,27,93","6,41,58,29,30"
8831544893,1780145060,73,7,22,2449,0,"126,21,104,121,123","29,22,14,40,19"
8831544760,1780145056,75,7,22,1928,1,"42,40,17,136,104","128,53,135,60,90"
8831544759,1780145055,73,7,22,1625,0,"36,12,121,26,28","74,6,2,75,107"
8831544757,1780145055,71,7,22,2264,1,"104,74,111,80,14","88,29,39,87,138"
8831544753,1780145050,72,7,22,1860,0,"85,135,46,34,26","60,90,86,91,53"
8831544682,1780145031,74,7,22,2466,1,"100,9,25,87,137","145,31,120,128,23"
8831544573,1780145045,75,7,22,1833,0,"97,119,120,109,31","71,2,41,50,105"
8831544567,1780145045,74,7,22,2195,0,"101,12,90,135,37","59,77,85,105,72"
8831544459,1780145041,73,7,22,2324,0,"114,26,113,21,2","34,110,6,128,14"
8831544409,1780145040,72,7,22,2361,1,"19,22,5,135,128","14,18,21,137,75"
8831544360,1780145042,75,9,2,2612,0,"26,86,57,31,108","13,19,85,123,126"
8831544348,1780145025,74,7,22,2537,0,"83,48,145,26,97","101,104,14,107,31"
8831544203,1780145029,72,7,22,1981,1,"6,87,77,86,106","13,36,28,121,3"
8831544095,1780145026,75,7,22,1529,1,"74,28,35,26,85","126,128,114,22,2"
8831544083,1780145021,72,7,22,2897,1,"31,101,22,41,25","128,104,93,68,37"
8831544056,1780145021,74,7,22,2616,0,"104,90,123,41,5","39,48,71,29,75"
8831544053,1780145015,71,0,4,2684,0,"70,63,68,101,104","67,128,16,120,33"
8831543999,1780145006,75,7,22,2147,1,"21,30,135,7,11","28,35,9,85,56"
8831543923,1780145015,75,7,22,2460,1,"126,109,27,74,106","26,47,14,86,6"
8831543896,1780145010,75,7,22,1293,1,"100,61,47,30,135","14,13,69,67,9"
8831543879,1780145016,73,7,22,2554,1,"21,34,14,37,12","8,128,120,129,27"
8831543836,1780145011,75,7,22,2119,0,"29,27,106,56,86","71,14,31,21,93"
8831543834,1780145010,75,7,22,2480,1,"70,84,120,135,22","129,71,25,1,85"
8831543808,1780144996,75,7,22,2569,1,"109,110,75,26,101","112,25,44,123,31"
8831543764,1780145011,75,7,22,1922,0,"128,99,102,135,94","41,88,108,85,101"
8831543762,1780145011,75,7,22,1280,0,"69,37,41,112,19","45,114,1,105,155"
8831543721,1780145005,72,0,4,2153,1,"25,57,90,33,81","73,97,1,71,99"
8831543645,1780145005,71,7,22,2235,1,"2,83,72,11,39","71,47,57,86,1"
8831543642,1780145005,75,7,22,2308,1,"88,97,105,138,22","53,43,123,98,30"
8831543595,1780144995,75,7,22,2075,1,"22,8,120,145,100","58,88,67,92,21"
